iter	Passed	Remaining
0	1994	995415
1	2445	608873
2	4173	691474
3	5875	728540
4	7685	760902
5	7724	635988
6	9639	678883
7	9650	593511
8	11751	641105
9	12035	589746
10	12163	540708
11	12290	499832
12	12607	472311
13	14626	507759
14	16645	538199
15	18390	556298
16	20430	580457
17	20688	553986
18	22512	569915
19	22967	551220
20	23003	524708
21	23449	509503
22	25262	523926
23	26224	520110
24	28144	534748
25	29857	544322
26	31728	555833
27	33465	564128
28	35270	572844
29	37234	583342
30	39040	590640
31	40833	597191
32	42855	606468
33	44878	615092
34	46736	620923
35	48642	626942
36	50829	636052
37	52936	643596
38	55117	651515
39	55658	640067
40	57483	643530
41	59629	650245
42	61409	652653
43	63318	656206
44	65453	661811
45	67303	664257
46	69362	668539
47	71312	671528
48	73445	676000
49	75321	677891
50	77121	678968
51	78846	679291
52	80913	682421
53	82828	684103
54	84829	686349
55	86718	687552
56	88569	688358
57	90715	691313
58	90793	678639
59	92715	679912
60	94741	681827
61	96484	681616
62	98298	681848
63	100528	684852
64	102380	685163
65	104321	685993
66	106276	686830
67	108357	688391
68	110259	688722
69	112404	690486
70	114461	691602
71	116139	690385
72	118086	690723
73	119958	690573
74	121664	689429
75	123399	688439
76	125187	687718
77	126853	686308
78	128503	684809
79	130537	685320
80	132332	684536
81	133986	683004
82	135716	681854
83	137526	681082
84	139708	682105
85	141531	681326
86	143234	679953
87	145120	679427
88	147332	680379
89	149223	679797
90	151158	679384
91	153090	678924
92	154907	677927
93	156756	677055
94	158793	676961
95	160499	675434
96	162358	674539
97	164046	672924
98	165883	671912
99	167640	670560
100	169419	669291
101	171100	667625
102	172913	666471
103	174847	665764
104	176594	664330
105	178375	663017
106	180163	661722
107	181893	660204
108	183690	658926
109	185566	657916
110	187583	657388
111	189240	655583
112	191023	654214
113	192769	652709
114	194702	651830
115	197001	652144
116	199073	651666
117	200843	650189
118	202825	649383
119	204673	648133
120	206353	646346
121	208101	644773
122	209776	642974
123	211409	641049
124	213142	639426
125	214818	637635
126	216467	635766
127	218444	634855
128	220267	633482
129	221933	631657
130	223743	630240
131	225660	629113
132	227352	627355
133	229482	626794
134	231612	626210
135	233664	625396
136	235793	624767
137	237732	623618
138	239588	622240
139	241588	621226
140	243332	619548
141	245027	617745
142	246771	616065
143	248429	614172
144	250078	612261
145	251860	610674
146	253526	608807
147	255193	606947
148	256944	605285
149	258624	603458
150	260309	601641
151	262140	600164
152	263865	598438
153	265504	596522
154	267161	594649
155	268907	592976
156	270672	591342
157	272432	589694
158	274164	587987
159	275830	586140
160	277611	584535
161	279278	582692
162	280973	580907
163	282752	579298
164	284462	577544
165	286159	575765
166	287920	574117
167	289626	572357
168	291290	570516
169	293042	568846
170	294694	566984
171	296336	565106
172	298105	563470
173	299789	561674
174	301503	559935
175	303179	558125
176	304915	556427
177	306595	554627
178	308327	552922
179	309999	551110
180	311669	549295
181	313403	547595
182	315071	545780
183	316719	543931
184	318467	542255
185	320108	540398
186	321782	538598
187	323418	536737
188	325170	535068
189	326886	533341
190	328612	531630
191	330399	530016
192	332125	528303
193	333802	526512
194	335562	524854
195	337225	523043
196	338902	521255
197	340659	519591
198	342331	517797
199	343999	515998
200	345790	514385
201	347461	512591
202	349099	510751
203	350852	509080
204	352527	507295
205	354218	505534
206	355974	503866
207	357683	502132
208	359328	500308
209	361058	498604
210	362718	496804
211	364380	495007
212	366027	493192
213	367821	491574
214	369486	489784
215	371159	488006
216	372962	486398
217	374645	484633
218	375079	481266
219	376862	479642
220	378530	477873
221	380192	476096
222	381965	474459
223	383631	472688
224	385311	470936
225	386968	469156
226	388616	467366
227	390366	465699
228	392025	463925
229	393770	462252
230	395443	460495
231	397109	458729
232	398746	456933
233	400485	455253
234	402195	453539
235	404128	452076
236	405962	450498
237	407794	448916
238	409699	447412
239	411420	445706
240	413075	443927
241	414833	442260
242	416548	440547
243	418258	438828
244	420014	437157
245	421664	435377
246	423289	433571
247	424942	431796
248	426702	430130
249	428327	428327
250	430051	426624
251	431713	424860
252	433371	423093
253	435112	421407
254	436771	419643
255	438408	417857
256	440175	416196
257	441907	414502
258	443582	412754
259	445261	411010
260	446993	409315
261	448623	407528
262	450260	405748
263	452005	404065
264	453849	402470
265	455544	400742
266	457457	399204
267	459251	397560
268	460969	395851
269	462724	394173
270	464413	392438
271	466116	390715
272	467904	389063
273	469596	387331
274	471244	385563
275	472975	383863
276	474617	382092
277	476267	380328
278	478012	378640
279	479661	376876
280	481306	375111
281	483174	373517
282	484840	371768
283	486524	370032
284	488278	368350
285	489936	366595
286	491579	364830
287	493346	363157
288	495001	361402
289	496681	359666
290	498413	357967
291	500076	356218
292	501766	354490
293	503453	352759
294	505237	351097
295	506957	349389
296	508623	347645
297	510367	345953
298	512103	344256
299	513864	342576
300	515683	340933
301	517451	339256
302	519145	337530
303	520901	335844
304	522532	334077
305	524152	332305
306	525915	330624
307	527600	328894
308	529254	327144
309	530975	325436
310	532594	323666
311	534264	321928
312	536029	320247
313	537696	318508
314	539376	316776
315	541020	315024
316	542822	313364
317	542860	310693
318	544598	309004
319	546367	307331
320	548063	305618
321	549736	303891
322	551507	302219
323	553172	300488
324	554826	298752
325	556587	297074
326	558238	295336
327	559957	293636
328	561680	291937
329	563425	290249
330	565123	288537
331	566796	286812
332	568454	285080
333	570290	283437
334	572125	281792
335	573822	280080
336	575528	278371
337	577209	276650
338	579026	274994
339	580813	273323
340	582699	271698
341	584501	270032
342	586188	268313
343	587995	266649
344	589691	264933
345	591386	263218
346	593205	261557
347	594909	259845
348	596594	258125
349	598438	256473
350	600312	254833
351	602045	253132
352	603790	251436
353	605491	249722
354	607124	247980
355	608869	246284
